"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"32","CHN","China","Asia and the Pacific",12,7,0,0.0048,0,NA,NA,NA,NA,NA,81.94,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,84102,4638,58.432,3.222,NA,NA,"3","0","2","0","2","0","4","0","0","0","1","0","1","0","3","0",NA,"0","0","0","2","1","3","2","0","0",NA,"83976","4637","56.94","81.94","56.9","75.95","54.81","72.12","64.77","85.23","0","0"
"33","CIV","Ivory Coast","Africa",46.4,38.4,0.2,1.4558,0.0076,NA,NA,NA,NA,NA,37.04,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,2423,30,91.856,1.137,NA,NA,"3","0","2","0","2","1","3","1","1","1","1","1","2","0","4","0",NA,"1","0","0","2","1","2","1","0","0",NA,"2231","14","78.7","78.7","85.24","85.24","67.31","67.31","75","75","25","25"
"34","CMR","Cameroon","Africa",100.2,262.2,5,9.8772,0.1884,NA,NA,NA,NA,NA,63.89,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,5044,171,190.011,6.442,NA,NA,"3","1","0","1","2","1","3","1","1","1","0",NA,"1","1","4","0",NA,"0","0","0","2","1","2","0","0","0",NA,"2265","140","63.89","63.89","73.33","73.33","49.36","49.36","58.33","58.33","0","0"
"35","COD","Congo (Kinshasa)","Africa",18.4,92.4,1.2,1.0316,0.0134,NA,NA,NA,NA,NA,80.56,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,2297,67,25.647,0.748,NA,NA,"3","1","2","0","2","1","3","1","2","0","2","0","2","0","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"684","34","80.56","80.56","80.48","80.48","69.87","69.87","73.48","73.48","50","50"
"36","COG","Congo (Brazzaville)","Africa",8,22.2,0.4,4.0232,0.0724,NA,NA,NA,NA,NA,NA,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,531,17,96.229,3.081,NA,NA,"3","1","3","1","2","1","3","1","2","1","3","1","2","1","4","1","1","2","0","0","2","1","1","1","0","0",NA,"229","10","97.22","97.22","97.14","97.14","85.26","85.26","87.12","87.12","75","75"
"37","COL","Colombia","Latin America and the Caribbean",233,858.8,24,16.878,0.4716,10177.3333333333,0.2,7722,0.151666666666667,NA,NA,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,21981,750,431.992,14.74,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"5142","233","87.04","87.04","88.81","88.81","84.62","84.62","86.36","86.36","75","75"
"38","CPV","Cape Verde","Africa",4.6,8.2,0,14.7484,0,NA,NA,NA,NA,NA,NA,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,390,3,701.454,5.396,NA,NA,"2","1","2","0","2","1","3","1","1","0","2","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"328","2","79.63","79.63","80.48","80.48","75.64","75.64","75.76","75.76","75","75"
"39","CRI","Costa Rica","Latin America and the Caribbean",6.2,10.8,0,2.12,0,377,0.0736666666666667,333,0.0653333333333333,NA,NA,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,951,10,186.686,1.963,NA,NA,"3","1","2","1","2","1","3","1","0","1","1","1","2","1","4","1","1","1","0","0","2","1","1","1","0","0",NA,"693","6","75","75","79.29","79.29","66.03","66.03","68.94","68.94","50","50"
"40","CUB","Cuba","Latin America and the Caribbean",50,9.4,0.6,0.8298,0.0528,1533.33333333333,0.135333333333333,1742,0.153666666666667,NA,NA,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,1947,82,171.896,7.24,NA,NA,"3","1","3","1","2","1","0","1","2","1","2","1","2","1","4","0","0","2","0","0","2","1","1","2","0","0",NA,"1337","79","100","100","97.14","97.14","87.18","87.18","93.94","93.94","50","50"
"41","CYP","Cyprus","Europe",7.6,3,0,3.425,0,NA,NA,NA,NA,NA,NA,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,937,17,1069.758,19.409,NA,NA,"3","1","3","0","2","1","4","1","2","1","2","1","2","1","4","2","1","2","0","0","2","1","3","2","0","0",NA,"927","15","94.44","94.44","93.57","93.57","96.15","96.15","95.45","95.45","100","100"
