"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"109","NPL","Nepal","Asia and the Pacific",1.4,31.2,0,1.071,0,1526.25,0.0525,NA,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,276,0,9.473,0,NA,NA,"3","1","3","1","2","1","3","1","2","1","3","1","2","1","3","1","1","2","0",NA,"2","1","1","2","0","0",NA,"31","0","95.24","95.24","94.29","94.29"
"110","NZL","New Zealand","Asia and the Pacific",9.8,0.2,0,0.0414,0,6713.25,1.39225,NA,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,1148,21,238.064,4.355,NA,NA,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","4","2","0","1","0","0","2","1","2","2","0","0",NA,"1147","21","97.35","88.09","97.14","85.24"
"111","OMN","Oman","West Asia",85.2,245.2,0.4,48.016,0.0784,NA,NA,NA,5106622,14.98,30.7,2.355,1.53,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,4625,19,905.687,3.721,NA,NA,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","4","2","0","0","0","0","2","1","2","2","0","0",NA,"1508","10","94.71","94.71","93.57","93.57"
"112","PAK","Pakistan","Asia and the Pacific",343.4,1571.6,33.4,7.1148,0.151,12874,0.0584,NA,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,38799,834,175.647,3.776,359264,1.626,"3","1","2","1","2","0","4","1","2","1","2","1","2","1","4","1","1","0",NA,"0","2","1","2","1","0","0",NA,"9749","209","91.54","94.71","93.57","93.57"
"113","PAN","Panama","Latin America and the Caribbean",155.4,164,4.4,38.009,1.0198,1026.25,0.238,NA,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,NA,2.3,9268,266,2147.972,61.649,NA,NA,"2","1","3","1","2","1","4","1","0",NA,"2","1","2","1","4","0","0","0","0","0","2","1","2","1","0","0",NA,"3751","103","83.6","83.6","79.29","79.29"
"114","PER","Peru","Latin America and the Caribbean",1115.6,3437.6,100.8,104.2588,3.0572,21844,0.662333333333333,NA,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,84495,2393,2562.641,72.577,630482,19.122,"3","1","3","1","2","1","4","1","1","1","3","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"11475","254","96.03","96.03","92.38","92.38"
"115","PHL","Philippines","Asia and the Pacific",275.4,259.4,17.4,2.3672,0.1588,13009,0.119,NA,109581085,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,12091,806,110.338,7.355,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","3","0",NA,"0","0","0","2","1","2","2","0","0",NA,"5453","349","97.22","97.22","94.29","94.29"
"116","PNG","Papua New Guinea","Asia and the Pacific",0,0,0,0,0,NA,NA,NA,8947027,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,8,0,0.894,0,NA,NA,"3","1","3","1","2","1","2","1","0","1","2","0","1","0","4","0",NA,"0","0","0","2","1","2","2","0","0",NA,"8","0","71.96","55.82","75.71","60.48"
"117","POL","Poland","Europe",325.4,404,21.4,10.6746,0.5654,21265,0.562,NA,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,18016,907,476.027,23.965,NA,NA,"3","1","2","1","2","1","4","1","1","1","1","1","2","1","4","1","0","1","0","0","2","1","1","0","0","0",NA,"7582","286","88.09","88.09","88.81","88.81"
"118","PRI","Puerto Rico","Latin America and the Caribbean",49.8,68.8,2.2,24.049,0.7692,NA,NA,NA,2860840,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,2542,122,888.55,42.645,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","0","1","2","0","0","2","1","1","2","0","0",NA,"1252","63","100","100","97.14","97.14"
