"","world_region","country_name","C1_School.closing","C1_Flag","C2_Workplace.closing","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"143","Africa","Chad",3,1,3,2,1,1,2,2,2,4,0,2,2,1,1,0,0,0
"144","Asia and the Pacific","Thailand",3,1,3,2,1,3,2,1,2,4,2,2,2,1,1,2,0,0
"145","Latin America and the Caribbean","Trinidad and Tobago",3,1,3,2,1,4,1,2,0,4,0,2,2,1,2,2,0,0
"146","Africa","Tunisia",3,1,3,2,1,4,1,2,2,3,1,2,2,1,1,1,0,0
"147","Europe","Turkey",3,1,2,2,1,0,2,2,2,4,2,1,2,1,2,2,0,0
"149","Africa","Tanzania",3,1,0,2,0,3,0,0,0,4,0,0,2,1,0,1,0,0
"150","Africa","Uganda",3,1,3,2,1,3,2,2,2,3,0,0,2,1,1,1,0,0
"151","Europe","Ukraine",3,1,2,2,1,4,2,1,2,4,1,1,2,1,1,1,0,0
"152","Latin America and the Caribbean","Uruguay",3,0,1,2,1,0,1,1,2,4,1,2,2,1,1,1,0,0
"153","North America","United States",3,0,3,2,0,4,1,2,2,3,2,1,2,1,3,1,0,0
"154","Asia and the Pacific","Uzbekistan",3,1,3,2,1,4,2,2,2,4,2,2,2,1,1,2,0,0
"155","Latin America and the Caribbean","Venezuela",3,1,3,2,1,3,0,2,2,4,0,2,2,1,1,0,0,0
"156","Asia and the Pacific","Vietnam",3,0,2,2,1,3,1,0,2,4,1,0,2,1,3,2,0,0
"157","West Asia","Yemen",3,1,0,2,1,0,0,0,0,4,0,0,1,1,0,0,0,0
"158","Africa","South Africa",3,1,3,2,1,3,1,2,2,4,1,0,2,1,2,2,0,0
"159","Africa","Zambia",3,1,0,2,0,4,0,2,2,4,0,1,2,1,1,2,0,0
