"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_smoothed","new_tests_per_thousand","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"42","CZE","Czech Rep.","Europe",119,63.4,1.4,5.9204,0.1306,5425.25,33.21425,6505.25,0.6075,NA,59.65,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,8586,297,801.757,27.734,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"1","1","0",NA,"2","2","1","2","0","0","2","1","2","2","0","0",NA,"6654","227","62.3","62.3","66.43","66.43"
"43","DEU","Germany","Europe",2959.8,594.2,56.8,7.092,0.6778,NA,NA,NA,NA,NA,69.055,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,175210,8007,2091.212,95.567,NA,NA,"3","1","1","1","2","1","4","1","0","1","2","0","2","0","4","2","0","2","0","0","2","1","1","1","0","0",NA,"159119","6288","68.26","68.26","67.38","67.38"
"44","DJI","Djibouti","Africa",86.8,50,0.8,50.6072,0.8096,NA,NA,NA,NA,NA,NA,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,1518,7,1536.434,7.085,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","0",NA,"0","0","0","2","1","3","2","0","0",NA,"846","2","100","100","97.14","97.14"
"45","DMA","Dominica","Latin America and the Caribbean",0,0,0,0,0,NA,NA,NA,NA,NA,NA,71991,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,16,0,222.25,0,NA,NA,"3","1","3","1","2","1","4","1","0",NA,"2","1","2","1","4","0",NA,"0","0","0","2","1","3","2","0","0",NA,"16","0","86.24","86.24","82.86","82.86"
"46","DNK","Denmark","Europe",184.8,60.2,3,10.3932,0.5182,8841.6,66.7678,9929.6,1.7144,NA,NA,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,10968,548,1893.58,94.61,402194,1.347,"2","1","2","1","2","1","4","1","1","1","1","1","1","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"7242","533","81.47","81.47","80.48","80.48"
"47","DOM","Dominican Rep.","Latin America and the Caribbean",233.6,305.8,5,28.1898,0.4608,NA,NA,NA,NA,NA,98.02,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,12725,434,1173.038,40.008,NA,NA,"3","1","3","1","2","1","3","1","2","1","3","1","2","1","4","1","1","0","0","0","2","1","2","1","0","0",NA,"6135","278","98.02","98.02","97.14","97.14"
"48","DZA","Algeria","Africa",110.4,189.6,6.6,4.3234,0.1508,NA,NA,NA,NA,NA,NA,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,7201,555,164.215,12.656,NA,NA,"3","1","2","1","2","1","4","0","2","1","2","0","2","0","3","0",NA,"1","0","0","2","1","0","0","0","0",NA,"2535","367","82.42","82.42","85.95","85.95"
"49","ECU","Ecuador","Latin America and the Caribbean",298.6,619.2,93,35.0962,5.2714,NA,2.9,1264.2,0.0716,NA,NA,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,33582,2799,1903.411,158.646,53813,NA,"3","1","3","1","2","1","3","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","3","1","0","0",NA,"11183","576","95.37","95.37","97.14","97.14"
"50","EGY","Egypt","Africa",168.4,466.6,17.8,4.5596,0.174,NA,NA,NA,NA,NA,88.75,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,12764,645,124.728,6.303,NA,NA,"3","1","2","1","2","1","1","1","2","1","2","1","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"3490","264","88.75","88.75","93.57","93.57"
"51","ESP","Spain","Europe",3037,516.5,97,11.047,2.07475,NA,NA,NA,NA,NA,NA,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,231606,27709,4953.632,592.645,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","1","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"193252","23190","89.41","83.07","88.81","85.24"
